ITERACJA 0
CZĄSTKA 0: [4]	[7] : -1000.00
CZĄSTKA 1: [5]	[3] : -1000.00
CZĄSTKA 2: [3]	[1] : -1000.00
CZĄSTKA 3: [4]	[6] : 25.23
CZĄSTKA 4: [2]	[5] : -1000.00
CZĄSTKA 5: [5]	[1] : 9.64
CZĄSTKA 6: [6]	[5] : 25.86
CZĄSTKA 7: [1]	[1] : 0.90
CZĄSTKA 8: [6]	[2] : 10.40
CZĄSTKA 9: [2]	[1] : 14.41
CZĄSTKA 10: [6]	[1] : 19.86
CZĄSTKA 11: [5]	[3] : -1000.00
CZĄSTKA 12: [1]	[1] : 0.90
CZĄSTKA 13: [1]	[5] : -1000.00
CZĄSTKA 14: [1]	[1] : 0.90
CZĄSTKA 15: [5]	[1] : 9.64
CZĄSTKA 16: [3]	[1] : -1000.00
CZĄSTKA 17: [1]	[5] : -1000.00
CZĄSTKA 18: [6]	[2] : 10.40
CZĄSTKA 19: [5]	[2] : -1000.00
CZĄSTKA 20: [3]	[2] : -1000.00
CZĄSTKA 21: [5]	[6] : -1000.00
CZĄSTKA 22: [5]	[4] : 19.03
CZĄSTKA 23: [6]	[6] : 24.25
CZĄSTKA 24: [4]	[1] : 12.00
CZĄSTKA 25: [6]	[4] : 24.52
CZĄSTKA 26: [1]	[6] : 9.13
CZĄSTKA 27: [2]	[4] : -1000.00
CZĄSTKA 28: [5]	[3] : -1000.00
CZĄSTKA 29: [2]	[3] : -1000.00
ITERACJA 10
CZĄSTKA 0: [6]	[2] : 10.40
CZĄSTKA 1: [5]	[3] : -1000.00
CZĄSTKA 2: [6]	[1] : 19.86
CZĄSTKA 3: [5]	[4] : 19.03
CZĄSTKA 4: [4]	[3] : -1000.00
CZĄSTKA 5: [6]	[1] : 19.86
CZĄSTKA 6: [6]	[3] : 23.49
CZĄSTKA 7: [7]	[2] : 28.47
CZĄSTKA 8: [6]	[2] : 10.40
CZĄSTKA 9: [4]	[1] : 12.00
CZĄSTKA 10: [6]	[1] : 19.86
CZĄSTKA 11: [6]	[1] : 19.86
CZĄSTKA 12: [7]	[2] : 28.47
CZĄSTKA 13: [4]	[3] : -1000.00
CZĄSTKA 14: [7]	[2] : 28.47
CZĄSTKA 15: [6]	[1] : 19.86
CZĄSTKA 16: [7]	[2] : 28.47
CZĄSTKA 17: [4]	[3] : -1000.00
CZĄSTKA 18: [6]	[2] : 10.40
CZĄSTKA 19: [6]	[2] : 10.40
CZĄSTKA 20: [7]	[1] : 12.92
CZĄSTKA 21: [6]	[2] : 10.40
CZĄSTKA 22: [6]	[3] : 23.49
CZĄSTKA 23: [6]	[3] : 23.49
CZĄSTKA 24: [7]	[2] : 28.47
CZĄSTKA 25: [6]	[3] : 23.49
CZĄSTKA 26: [5]	[3] : -1000.00
CZĄSTKA 27: [7]	[1] : 12.92
CZĄSTKA 28: [5]	[3] : -1000.00
CZĄSTKA 29: [7]	[1] : 12.92
ITERACJA 20
CZĄSTKA 0: [6]	[3] : 23.49
